Playback_Number,Audio_ID,Playback_Species,Model_Used,ModelOnly,Observers,Date,Time,Control,Waypoint_ID,GPS,FS,Focal_ID,FecalSamp,Genus,Group_ID,Context,InfantsJuveniles_Present,VerticalDistPre_m,HorizontalDistPre,NumberIndividualsIn10mPre,GroupCompPre,VerticalDistancePost,HorizontalDistancePost,NumberIndividualsIn10mPost,GroupCompPost,Response,ResponseType,ResponseLatencyFromFirstNote_seconds,ResponseLength_seconds,AwayTowardsNone,UpDownNone,GroupMembersReact?,DataAudioVideoFile,Notes
PB-25-024,SouthernMealy4v2,Southern Mealy,FALSE,FALSE,Nico Jaworski/Jack Jaworski/Anthony Di Fiore/Lucas Atherton/,2025-07-19,9:02,TRUE,PB25024,GPS PP19,FS72641,Pepe/,FALSE,Lagothrix,P/,Resting/,FALSE,15/,10/,1/,Pepe/,15/,15/,1/,Pepe/,FALSE,None/,NA/,NA/,NA/,NA/,No/,MVI_1043/ZOOM0049/,Pepe had no reaction to the playback and continued resting and moving through the tree he was in and into another tree. There was no reaction from any other possible individuals nearby.
PB-25-025,Jaguar12v2,Jaguar,TRUE,FALSE,Nico Jaworski/Jack Jaworski/Lucas Atherton/,2025-07-19,12:50,FALSE,PB25025,GPS PP19,FS72642,Pepe/,FALSE,Lagothrix,P/,Resting/,FALSE,10/,10/,4/,AM/AM/AM/Pepe/,15/,10/,1/,Pepe/,TRUE,Vigilance/Orientation/Movement/AlarmBark/AgitatedChirps/,20/,1080/,Away/,Up/,Yes/AlarmBark/AgitatedChirps/,ZOOM0052/MVI_1089/,"In response to the audio of the playback it looked and sounded like Pepe barked and the moved away from the direction of the audio. After the audio was over he saw the model and began alarm barking and staring at the position of the model. He remained in the same tree looking at the model, then looking up, then looking around, before returing his gaze to the mode. He continued alarm barking until 13:10 and did not leave the tree he was in until 13:15. Nearby there were three other adult males who had previously been chirping but then became silent once Pepe began alarm barking with only a few distant alarm barks being heard. Pepe remained in a vigilant position staring at the location of the model even after the model moved out of view and Pepe continued alarm barking as well. He gradually moved higher from his initial position and when the model was moved he moved even higher and in the direction the model was moved almost like he was trying to get a new angle on it. While in this new position he began scanning while hanging from his tail, looking at the area below him until he eventually stopped alarm barking at about 13:10."
PB-25-026,SouthernMealy11v2,Southern Mealy,FALSE,FALSE,Nico Jaworski/Lucas Atherton/Ashley Sideri/,2025-07-24,11:53,TRUE,PB25026,GPS PP19,FS72644,Chuchaki/,TRUE,Lagothrix,C/,Moving/,TRUE,10/,10/,5/,Chuchaki/AM/AM/AF/JF3/,10/,10/,5/,Chuchaki/AM/AM/AF/JF3/,FALSE,None/,NA/,NA/,NA/,NA/,No/,ZOOM0053/MVI_1438/,Chuchaki had no reaction to this control playback. He did not orient towards the speaker or change his present activity. Nearby neighbors also did not have any response to this playback.
PB-25-027,Jaguar1v2,Jaguar,FALSE,FALSE,Nico Jaworski/Lucas Atherton/Ashley Sideri/,2025-07-24,12:31,FALSE,PB25027,GPS PP19,FS72644,Chuchaki/,TRUE,Lagothrix,C/,Resting/,TRUE,10/,5/,5/,Chuchaki/AM/AM/AF/JF3/,13/,3/,5/,Chuchaki/AM/AM/AF/JF3/,TRUE,Vigilance/Orientation/Movement/,0-2/,16/,Towards/,Up/,Yes/Vocalize/Vigilance/Orientation/,ZOOM0054/ZOOM0055/MVI_1489/,Chuchaki was resting facing the opposite direction of the speaker. When the first note was heared he moved his head up and scanned the environment. After hearing the 2nd and 3rd notes he looked towards the speaker and then moved up the tree in the direction of the speaker. A nearby individual let out a chirp during the playback and an adult male could be seen about 7 meters from the speaker sitting up and angling his body towards the speaker and stared at it for several seconds. A JF3 who had been moving near this adult male had stopped moving and was looking up at the AM.
PB-25-028,SouthernMealy7v2,Southern Mealy,FALSE,FALSE,Nico Jaworski/Jack Jaworski/,2025-07-29,7:28,TRUE,PB25028,GPS PP19,FS72645,Chuchaki/,TRUE,Lagothrix,C/,Resting/,TRUE,15/,5/,5/,Chuchaki/AF/AF/JUV2/JUV2/,15/,5/,5/,Chuchaki/AF/AF/JUV2/JUV2/,FALSE,None/,NA/,NA/,NA/,NA/,No/,ZOOM0056/MVI_1638/,Chuchaki was resting when the playback was initiated along with 2 AFs and 2 JUV2s. In response to the playback he and the nearby individuals did not react and behaved the same as they had been previously.
PB-25-029,NA,Jaguar,TRUE,TRUE,Nico Jaworski/Jack Jaworski/,2025-07-29,10:05,FALSE,PB25029,GPS PP19,FS72646,Chuchaki/,TRUE,Lagothrix,C/,Foraging/,TRUE,10-15/,10/,5/,Chuchaki/AM/AF/AF/JUV2/,20/,15/,5/,Chuchaki/AM/AF/AF/JUV2/,TRUE,Vigilance/Orientation/Vocalize/AlarmBark/,264/,607/,Away/,Up/,Yes/Vocalize/Vigilance/Orientation/AlarmBark/Away/Towards/Up/Down/,ZOOM0057/MVI_1650/,"Prior to the model being preseted, Chuchaki was foraging on new leaves along with an adult male and adult female with a JUV2 nearby. A few minutes after the model was presented, the adult male and adult female began to let out agitated chirps and could be seen orienting towards the model. The adult male moved down and towards the model quickly, crashing into the area directly above. The adult female moved up and slightly away from her former position. Once Chuchaki heard the chirps and what sounded like some faint alarm barks he moved up and away from his position and began orienting towards the model, scanning the environment, and making agitated chirps. All nearby individuals stopped the present activity to vocalize and orient towards the model, staring directly at it for the remainder of the time the model was out. Chuchaki had a delayed response compared to the adult male and female who first started making the agitated chirps, starteding about 3 minutes after the model was presented."
PB-25-030,SouthernMealy5v2,Southern Mealy,FALSE,FALSE,Nico Jaworski/Jack Jaworski/,2025-07-31,7:21,TRUE,PB25030,GPS PP19,FS72650,AFD/,FALSE,Lagothrix,C/,Foraging/,TRUE,10-15/,5/,7/,AFD/JUV1/AF/AF/AF/JUV2/AM/,10-15/,5/,7/,AFD/JUV1/AF/AF/AF/JUV2/AM/,FALSE,None/,NA/,NA/,NA/,NA/,No/,ZOOM0058/MVI_1812/,Group members and focal had no reaction to the control playback. No one oriented or changed their activity as a result of the playback.
PB-25-031,HarpyEagle35v5,Harpy Eagle,FALSE,FALSE,Nico Jaworski/Jack Jaworski/,2025-07-31,8:13,FALSE,PB25031,GPS PP19,FS72742,AFD/,FALSE,Lagothrix,C/,Foraging/,TRUE,15/,5/,8/,AFD/JUV1/AF/AF/AF/AF/JUV2/AM/,15/,5/,8/,AFD/JUV1/AF/AF/AF/AF/JUV2/AM/,TRUE,Vocalize/AgitatedChirps/,10/,12/,None/,None/,Yes/Vocalize/Vigilance/AgitatedChirps/,ZOOM0059/MVI_1813/,"The focal and the group began letting out agitated chirps after the fourth note was played, so about 10 seconds after the playback started. Some of the AFs paused foraging and looked around but once they didn’t see any danger or hear any other calls they resumed foraging."
PB-25-032,SouthernMealy9v2,Southern Mealy,FALSE,FALSE,Nico Jaworski/Jack Jaworski/,2025-08-03,10:32,TRUE,PB25032,GPS PP19,FS72654,Dundu/,FALSE,Lagothrix,D/,Resting/,FALSE,15/,10/,1/,Dundu/,15/,10/,1/,Dundu/,FALSE,None/,NA/,NA/,NA/,NA/,No/,ZOOM0060/MVI_1910/,Dundu had no reaction to the control playback and remained in the same resting position he was in at the start of the playback.
PB-25-033,Jaguar8v2,Jaguar,TRUE,FALSE,Nico Jaworski/Jack Jaworski/,2025-08-03,11:20,FALSE,PB25033,GPS PP19,FS72745,Dundu/,FALSE,Lagothrix,D/,Resting/,FALSE,15/,10/,2/,Dundu/ADULT/,10/,5/,1/,Dundu/,TRUE,Orientation/Vigilance/Movement/ScanningArea/,16/,161/,Towards/,Down/,No/,ZOOM0062/MVI_1911/,"Dunudu was resting at the start of the playback. He did not respond to the first few notes but seemed to notice after hearing the second set of notes. Once he heard the jaguar calls he looked up, did a quick scan and stared in the direction of the model and speaker. He then moved down and towards the position of the model and stared at it while scanning his surroundings for almost 3 minutes. After this time, he turned away from the model and remained in vigialnce from 11:25 to 11:30."
PB-25-034,SouthernMealy9v2,Southern Mealy,FALSE,FALSE,Nico Jaworski/Jack Jaworski/,2025-08-04,9:45,TRUE,PB25034,GPS PP19,FS72746,Gata/,TRUE,Lagothrix,G/,Resting/,FALSE,20/,10/,2/,Gata/ADULT/,20/,10/,2/,Gata/ADULT/,FALSE,None/,NA/,NA/,NA/,NA/,No/,ZOOM0063/MVI_1912/,"Gata had no reaction to this control playback, neither did the individual resting next to him. He continued resting after the playback was conducted"
PB-25-035,Jaguar8v2,Jaguar,TRUE,FALSE,Nico Jaworski/Jack Jaworski/,2025-08-04,11:58,FALSE,PB25035,GPS PP19,FS72747,Gata/,TRUE,Lagothrix,G/,Foraging/,TRUE,15/,2/,3/,Gata/AF/JUV2/,10/,20/,0/,NA/,TRUE,Orientation/Vigilance/Movement/ScanningArea/Flee/AgitatedChirps,16/,525/,Away/,Down/,Yes/Flee/Away/Down/Vigilance/Orientation/AgitatedChirps/,ZOOM0064/ZOOM0065/MVI_1913/MVI_1914/,"Prior to the playback Gata, an AF and a JUV2 were foraging calmly on fruits. When the playback was initated they briefly looked around. The female may have seen the model first as she quickly looked down and then quickly exited the tree with her JUV2. Gata then looked around, oriented towards the model and the also moved out of the tree quickly to where the AF and JUV2 had moved to. Once he reached them, Gata and the AF were oritented towards the model, staring at its position and scanning the area and began letting out agitated chirps while looking in the direction of the model. While vocalizing they eventually moved furthur away to a tree across a ravine."
PB-25-036,SouthernMealy13v2,Southern Mealy,FALSE,FALSE,Nico Jaworski/Jack Jaworski/,2025-08-08,7:51,TRUE,PB25036,GPS PP19,FS72661,Chuchaki/,TRUE,Lagothrix,C/,Moving/,TRUE,10/,15/,1/,Chuchaki/,10/,15/,1/,Chuchaki/,FALSE,None/,NA/,NA/,NA/,NA/,No/,ZOOM006/ZOOM0067/MVI_1952/,Chuchaki had no reaction to the control playback and did not orient towards the speaker at all.
PB-25-037,Jaguar19v2,Jaguar,FALSE,FALSE,Nico Jaworski/Jack Jaworski/,2025-08-08,10:20,FALSE,PB25037,GPS PP19,FS72662,Chuchaki/,TRUE,Lagothrix,C/,Foraging/,FALSE,15/,5/,1/,Chuchaki/,15/,5/,1/,Chuchaki/,FALSE,None/,NA/,NA/,NA/,NA/,No/,ZOOM0068/MVI_1953/,Chuchaki was foraging at the start of the playback alone. He did not orient or change his activity upon hearing the playback audio.
PB-25-038,SouthernMealy17v2,Southern Mealy,FALSE,FALSE,Nico Jaworski/Jack Jaworski/,2025-08-10,8:03,TRUE,PB25038,GPS PP19,FS72665,Chuchaki/,FALSE,Lagothrix,C/,Moving/,FALSE,10/,15/,3/,Chuchaki/JUV2/AF/,10/,15/,3/,Chuchaki/JUV2/AF/,FALSE,None/,NA/,NA/,NA/,NA/,No/,MVI_1954/ZOOM0069/,Chuchaki was moving with an AF and JUV2 at the time of this control. He did not orient or have any clear reaction to the playback and continued moving between trees as he had been previously.
PB-25-039,NA,Jaguar,TRUE,TRUE,Nico Jaworski/Jack Jaworski/,2025-08-10,8:54,FALSE,PB25039,GPS PP19,FS72755,Chuchaki/,FALSE,Lagothrix,C/,Foraging/,FALSE,10/,10/,1/,Chuchaki/,25/,20/,0/,NA/,TRUE,Flee/Vigilance/Orientation/AgitatedChirps/,120/,420/,Away/,Up/,No/,MVI_1955/ZOOM0070/PB25039Note/,Chuchaki had been foraging when the model was first presented. He moved slightly and then noticed the model about 2 minutes after it was presented. After orienting and engaging in vigilance towards the models he crashed through the trees and ran over to a tree about 20 meter away and moved up the tree and began emmiting agitated chirps. He continued to let out these chirps for the entire time the model was being presented.
PB-25-040,SouthernMealy17v2,Southern Mealy,FALSE,FALSE,Nico Jaworski/Jack Jaworski/,2025-08-13,7:25,TRUE,PB25040,GPS PP19,FS72667,Gata/,TRUE,Lagothrix,G/,Foraging/,TRUE,15/,5/,3/,Gata/AF/JUV2/,15/,5/,3/,Gata/AF/JUV2/,FALSE,None/,NA/,NA/,NA/,NA/,No/,MVI_1983/ZOOM0071/,Gata had no apparent reaction to the playback and continued foraging and looking around his area as other individuals moved in the trees near him.
PB-25-041,Jaguar13v2,Jaguar,TRUE,FALSE,Nico Jaworski/Jack Jaworski/,2025-08-13,8:26,FALSE,PB25041,GPS PP19,FS72757,Gata/,TRUE,Lagothrix,G/,Resting/,TRUE,15/,5/,3/,Gata/AF/JUV2/,10/,10/,3/,Gata/AF/JUV2/,TRUE,Orientation/Vigilance/Flee/AgitatedChirps/,0/,540/,Away/,Down/,Yes/Orientation/Vigialnce/AgitatedChirps/,MVI_1986/ZOOM0072/,"After hearing the first note of the playback, Gata immediately looked down towards the speaker and model, saw the model, and then moved away out of the tree to where the female and JUV2 were positioned. Once there, he was oriented at the speaker and he began letting out agitated chirps along with the AF. The agitated chirps and vigialance continued until shortly after the model had been put away"
